	label	aspect	sentence	masked_sen	subject	verb	object
0	0	angesägt	In der letzten Woche wurden neben dem Fahrradweg sechs Bäume angesägt .	In der letzten Woche wurden neben dem Fahrradweg sechs Bäume [MASK] .		ansägen	Baum
1	0	angesägt	Wird eine Leiter angesägt , hat das auch böse Folgen für die anderen .	Wird eine Leiter [MASK] , hat das auch böse Folgen für die anderen .		ansägen	Leiter
2	1	ansägen	Ich denke , dass wir diesen Grundbetrag von elf Euro ansägen , ist gefährlich .	Ich denke , dass wir diesen Grundbetrag von elf Euro [MASK] , ist gefährlich .		ansägen	
3	0	ansägen	du musst die hülse mit der Eisensäge ansägen dann geht sie raus .	du musst die hülse mit der Eisensäge [MASK] dann geht sie raus .		ansägen	Hülse
4	0	angesägt	Viermal wurde er angesägt , schliesslich sogar die Stange gekürzt	Viermal wurde er [MASK] , schliesslich sogar die Stange gekürzt		ansägen	
5	1	ansägen	Während die neuen Gegner Chris Pine und Christoph Waltz den Jungs manche Sprosse der Karriereleiter ansägen .	Während die neuen Gegner Chris Pine und Christoph Waltz den Jungs manche Sprosse der Karriereleiter [MASK] .	Gegner	ansägen	Sprosse
6	1	angesägt	Die Merkel ist bald so angesägt , dass sie nicht noch einmal Kanzlerin wird .	Die Merkel ist bald so [MASK] , dass sie nicht noch einmal Kanzlerin wird .		ansägen	Merkel
7	1	ansägen	Bevor wir mit Google Bomben um uns werfen oder die Online Reputation von missliebigen Politikern ansägen	Bevor wir mit Google Bomben um uns werfen oder die Online Reputation von missliebigen Politikern [MASK]		ansägen	Reputation
8	0	eingerissen	Die einschliessenden Wände bleiben stehen , werden nicht eingerissen .	Die einschliessenden Wände bleiben stehen , werden nicht [MASK] .		einreissen	Wand
9	0	reissen	Hab ich vergessen zu schreiben : sie reissen trotz Nagellack ein .	Hab ich vergessen zu schreiben : sie [MASK] trotz Nagellack ein .		einreissen	
10	0	eingerissen	Aussen abgegriffen , Umschlag der Rückseite eingerissen , innen guter Zustand .	Aussen abgegriffen , Umschlag der Rückseite [MASK] , innen guter Zustand .	Umschlag	einreissen	
11	0	eingerissen	Das vordere Vorsatz und die ersten beiden Blätter sind an der Vorderkante um drei mm eingerissen .	Das vordere Vorsatz und die ersten beiden Blätter sind an der Vorderkante um drei mm [MASK] .	Vorsatz	einreissen	
12	0	einreisst	Mädchen haben am Scheideneingang das sog. Jungfernhäutchen , das beim ersten Geschlechtsverkehr meistens einreisst .	Mädchen haben am Scheideneingang das sog. Jungfernhäutchen , das beim ersten Geschlechtsverkehr meistens [MASK] .	Jungfernhäutchen	einreissen	
